LoginFreq,Purchases,AmountSpent,Tickets,DaysInactive,MembershipMonths,Churn
7,17,977,2,60,60,0
20,14,1414,8,105,59,0
29,5,495,2,127,53,0
15,18,1765,6,83,23,0
11,0,3640,0,152,3,1
8,0,2978,6,178,41,1
29,12,1589,8,105,1,0
21,2,2805,10,161,54,1
7,9,60,7,74,44,0
26,20,1669,6,135,12,0
19,2,4310,9,174,38,1
23,8,2797,7,122,40,0
11,7,4638,3,62,31,0
11,2,2165,1,1,29,0
24,12,4356,10,79,35,0
21,5,4240,8,118,28,0
4,12,3171,2,65,21,0
8,19,1624,10,173,11,0
24,19,2746,3,66,26,0
3,11,416,6,67,11,1
22,12,3389,1,100,5,0
21,1,4207,7,54,56,0
2,20,1394,9,121,7,0
24,15,3705,7,100,51,0
12,5,4509,4,103,31,0
30,18,4919,8,180,39,0
6,20,2912,7,165,42,0
2,12,1639,0,108,8,0
28,16,3272,8,12,53,0
21,8,1036,4,148,27,0
1,16,2999,8,87,21,0
12,1,2234,8,86,30,0
26,18,2930,9,32,14,0
22,18,4325,9,71,59,0
29,6,4278,2,44,1,0
12,9,2793,7,66,45,0
25,9,1423,6,78,24,0
17,19,4607,6,55,6,0
27,8,3658,9,16,6,0
27,16,2818,1,88,53,0
10,14,3341,1,71,5,0
28,1,2188,1,68,35,0
28,3,807,10,180,44,1
16,18,2856,1,124,15,0
15,16,939,3,165,35,0
30,4,4828,6,174,48,1
30,6,3101,1,169,50,0
15,17,2272,4,133,41,0
30,20,1343,6,5,8,0
19,6,1284,8,125,43,0
12,16,4593,7,131,35,0
23,6,3490,8,136,5,0
20,3,3352,6,154,31,1
25,7,1227,2,74,42,0
3,12,1474,0,125,31,0
5,3,4418,9,98,37,1
19,5,4184,6,123,8,0
7,4,4780,10,100,6,1
21,11,23,5,53,23,0
9,3,2303,1,76,53,0
7,8,2055,0,128,16,0
18,3,1047,9,157,44,1
4,18,4138,3,14,49,0
25,13,1469,3,5,8,0
28,4,266,5,112,4,1
14,17,4139,10,27,32,0
18,9,4083,4,125,53,0
26,18,1293,8,29,49,0
9,11,3497,7,3,3,0
26,17,2194,8,158,50,0
21,16,368,9,137,16,0
2,10,3801,6,1,60,0
20,2,4859,8,23,34,0
28,16,3197,2,67,13,0
15,0,4509,8,160,33,1
28,14,1235,1,6,22,0
7,8,2307,8,49,31,0
12,14,287,5,143,24,0
29,2,4217,3,30,3,0
8,18,1996,10,40,33,0
15,12,3554,1,63,30,0
3,11,2803,9,48,26,0
14,19,401,2,124,34,0
